Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Mon, Mar 25, 2024",7:30p,Brooklyn Nets,96,Toronto Raptors,88,Box Score,,"18,376",2:07,Scotiabank Arena,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Mon, Mar 25, 2024",8:00p,Washington Wizards,107,Chicago Bulls,105,Box Score,,"21,726",2:19,United Center,
"Mon, Mar 25, 2024",8:00p,Portland Trail Blazers,92,Houston Rockets,110,Box Score,,"16,537",2:09,Toyota Center,
"Mon, Mar 25, 2024",8:00p,Phoenix Suns,102,San Antonio Spurs,104,Box Score,,"18,044",2:08,Frost Bank Center,
"Mon, Mar 25, 2024",9:00p,Memphis Grizzlies,103,Denver Nuggets,128,Box Score,,"19,536",2:13,Ball Arena,
"Mon, Mar 25, 2024",9:00p,Dallas Mavericks,115,Utah Jazz,105,Box Score,,"18,206",2:05,Delta Center,
"Mon, Mar 25, 2024",10:00p,Philadelphia 76ers,96,Sacramento Kings,108,Box Score,,"17,832",2:21,Golden 1 Center,
"Mon, Mar 25, 2024",10:30p,Indiana Pacers,133,Los Angeles Clippers,116,Box Score,,"19,370",2:06,Crypto.com Arena,
"Tue, Mar 26, 2024",7:30p,Golden State Warriors,113,Miami Heat,92,Box Score,,"19,813",2:10,Kaseya Center,
"Tue, Mar 26, 2024",7:30p,Los Angeles Lakers,128,Milwaukee Bucks,124,Box Score,2OT,"18,085",3:04,Fiserv Forum,
"Tue, Mar 26, 2024",8:00p,Oklahoma City Thunder,119,New Orleans Pelicans,112,Box Score,,"17,436",2:10,Smoothie King Center,
"Tue, Mar 26, 2024",10:00p,Dallas Mavericks,132,Sacramento Kings,96,Box Score,,"17,832",2:10,Golden 1 Center,
"Wed, Mar 27, 2024",7:00p,Cleveland Cavaliers,111,Charlotte Hornets,118,Box Score,,"15,303",2:10,Spectrum Center,
"Wed, Mar 27, 2024",7:00p,Golden State Warriors,101,Orlando Magic,93,Box Score,,"19,210",2:11,Kia Center,
"Wed, Mar 27, 2024",7:00p,Brooklyn Nets,122,Washington Wizards,119,Box Score,OT,"15,159",2:23,Capital One Arena,
"Wed, Mar 27, 2024",7:30p,Portland Trail Blazers,106,Atlanta Hawks,120,Box Score,,"16,059",2:07,State Farm Arena,
"Wed, Mar 27, 2024",7:30p,Los Angeles Clippers,108,Philadelphia 76ers,107,Box Score,,"21,022",2:23,Wells Fargo Center,
"Wed, Mar 27, 2024",7:30p,New York Knicks,145,Toronto Raptors,101,Box Score,,"19,133",2:06,Scotiabank Arena,
